Country Name,Country Code,GDP(current_US$),GDP_Growth_(annual %),GDP_per_capita_growth_(annual %),"GDP per capita, PPP (current intl $)"
Australia,AUS,1351520093185.79,2.336075481,0.873785641,46270.1974
Austria,AUT,381805676697.71,1.142980101,0.015506133,49877.71331
Brazil,BRA,1802214373741.32,-3.545763393,-4.351483989,15813.87326
Canada,CAN,1552899925233.71,0.674305601,-0.074269555,44567.86635
China,CHN,11015542352468.90,6.90531667,6.3634693,14454.99797
Croatia,HRV,49519006809.27,2.400591879,3.247961086,23008.18872
France,FRA,2438207896251.84,1.112912342,0.691921868,40833.24207
Finland,FIN,232850788304.51,0.50066201,0.170173611,42220.95767
Germany,DEU,3381389338658.82,1.738967619,0.862012076,47979.4842
Ghana,GHA,49181854795.30,2.1782068,-0.11392677,4044.413371
India,IND,2103587813812.75,7.996253786,6.79703975,6133.887072
Italy,ITA,1832273032580.67,0.923992488,1.021306015,36836.42634
Japan,JPN,4389475622588.97,1.222921041,1.330400881,40396.24321
Kuwait,KWT,114567298105.68,0.593019617,-3.200575606,75042.14197
Nigeria,NGA,494583180777.10,2.652693295,-0.029295429,6072.477295
Norway,NOR,386663139402.71,1.970052934,0.960396302,60519.97152
South Africa,ZAF,317536830643.71,1.279549282,-0.257162858,13196.43492
Spain,ESP,1199084183705.08,3.644680152,3.725128085,35028.30135
United Kingdom,GBR,2896420586534.40,2.349122692,1.538705557,42042.91932
United States,USA,18219297584000.00,2.880910466,2.125122816,56803.47243
United Arab Emirates,ARE,358135057862.49,5.064701529,4.512036858,70261.53502
