Country Name,Country Code,GNI_(current_US$),GNI_Growth_(annual %),GNI_per_capita_Growth(annual %),GNI_per_capita_PPP (current intl $)
Australia,AUS,1323890000000.00,3.002699214,1.530883925,45320
Austria,AUT,378047000000.00,0.021702639,-1.093272081,49390
Brazil,BRA,1763310000000.00,-3.718780235,-4.523055552,15470
Canada,CAN,1532660000000.00,0.796906238,0.047419471,43990
China,CHN,10973800000000.00,6.364522666,5.825416299,14400
Croatia,HRV,49198191039.00,3.796610443,4.655531762,22860
France,FRA,2490860000000.00,1.126434489,0.705387714,41720
Finland,FIN,235139000000.00,0.585295753,0.254529043,42640
Germany,DEU,3454340000000.00,1.961607406,1.082732784,49010
Ghana,GHA,48529901796.00,4.314132311,1.974084155,3990
India,IND,2077990000000.00,7.957395472,6.758612927,6060
Italy,ITA,1822370000000.00,0.371564368,0.468345229,36640
Japan,JPN,4558090000000.00,1.516197543,1.623988788,41950
Kuwait,KWT,127259000000.00,-0.940680553,-4.676436398,83360
Nigeria,NGA,481571000000.00,3.543990828,0.838715331,5910
Norway,NOR,402696000000.00,2.768422445,1.750860756,63030
South Africa,ZAF,309671000000.00,1.452745102,-0.086594934,12870
Spain,ESP,1195830000000.00,3.704093142,3.784587191,34930
United Kingdom,GBR,2830740000000.00,2.108158142,1.299649004,41090
United States,USA,18700500000000.00,2.749830846,1.995006138,58300
United Arab Emirates,ARE,359878000000.00,5.360454966,4.806234563,70600
