Country Name,Country Code,Inflation_consumer_prices_(annual %)
Australia,AUS,1.508366722
Austria,AUT,0.896565316
Brazil,BRA,9.029807186
Canada,CAN,1.125241361
China,CHN,1.437024514
Croatia,HRV,-0.464499005
France,FRA,0.037514381
Finland,FIN,-0.20792884
Germany,DEU,0.51442054
Ghana,GHA,17.1499695
India,IND,5.872426595
Italy,ITA,0.0387904
Japan,JPN,0.78951789
Kuwait,KWT,3.271701661
Nigeria,NGA,9.009387183
Norway,NOR,2.171136654
South Africa,ZAF,4.509208278
Spain,ESP,-0.500461321
United Kingdom,GBR,0.368046842
United States,USA,0.118627136
United Arab Emirates,ARE,4.069966084
