SNO,Time,Lien
47,31,0
141,28,0
163,21,1
117,20,0
79,60,1
171,20,0
148,21,1
112,56,0
33,18,1
14,34,1
2,60,0
135,29,0
27,52,0
142,50,1
68,59,0
133,46,1
114,51,1
116,48,0
131,17,1
76,4,0
46,27,0
120,28,0
67,58,0
85,56,0
170,40,1
112,39,0
122,17,0
72,53,0
101,46,0
162,51,1
9,43,1
3,5,0
135,45,0
15,35,1
91,45,1
107,3,1
137,56,1
165,60,0
7,42,1
76,9,0
134,2,0
22,1,1
110,6,0
199,12,0
57,26,0
68,47,0
2,29,1
171,3,0
75,2,1
138,31,0
191,2,1
110,31,0
22,52,0
72,3,0
24,19,1
88,43,1
25,39,0
158,59,0
143,14,1
79,33,1
179,10,1
49,12,0
135,10,1
135,45,1
94,50,0
112,1,1
58,46,1
73,49,0
42,3,1
168,56,0
114,49,1
15,55,1
142,10,1
38,56,0
56,45,1
194,44,1
82,43,0
11,58,0
12,58,0
162,58,1
58,18,1
190,49,1
91,11,0
62,26,1
89,7,1
159,35,0
52,58,1
187,30,1
184,6,1
83,42,0
16,20,0
130,18,0
19,21,1
32,4,1
8,13,1
108,9,1
33,50,0
95,13,1
83,39,1
14,31,1
30,8,1
195,23,0
115,46,1
19,47,1
184,51,0
38,19,0
185,48,0
21,38,1
18,44,1
173,26,0
114,37,1
140,21,1
127,46,1
8,24,0
152,41,0
200,3,0
116,14,0
95,41,1
118,7,1
179,19,0
166,40,1
199,58,0
135,29,1
180,30,0
28,37,0
101,16,1
139,29,0
181,18,1
90,56,0
97,10,1
126,13,0
142,53,0
188,16,0
38,22,1
55,20,1
76,59,1
72,8,0
79,8,0
127,26,1
193,5,1
129,60,0
105,51,0
119,42,1
29,13,1
37,58,0
180,26,0
72,25,0
22,20,0
111,2,1
22,7,1
28,22,0
15,31,0
51,35,1
25,10,1
190,39,1
43,37,1
16,45,0
142,14,1
178,20,0
55,8,0
38,6,0
82,20,0
46,57,0
157,11,0
146,51,1
112,26,1
192,57,1
34,11,1
174,54,0
123,30,0
43,46,0
159,42,1
127,29,1
70,25,0
191,46,1
170,20,1
78,58,1
153,35,0
21,22,0
176,22,1
197,53,0
146,50,1
25,41,0
42,19,1
81,12,0
91,9,1
12,35,1
37,41,0
156,58,1
127,53,1
18,12,1
92,28,0
113,11,0
124,60,1
131,33,1
74,21,1
114,9,1
200,10,1
128,46,0
47,54,1
177,52,1
8,1,1
12,11,0
139,3,1
32,8,0
30,46,1
188,49,1
61,49,1
103,27,1
2,48,0
156,15,1
11,25,1
83,36,1
5,11,1
138,25,1
199,24,1
126,58,0
12,8,1
145,30,0
40,59,1
59,60,0
112,27,0
177,22,0
29,25,0
144,32,1
50,13,1
11,26,1
114,58,0
154,60,0
176,12,0
87,58,0
119,12,0
56,35,1
136,50,0
72,24,0
182,26,0
32,9,0
122,17,0
101,50,0
137,16,0
69,58,0
1,4,0
7,42,1
71,2,1
120,56,1
164,23,0
185,18,0
3,45,1
162,12,0
151,58,0
39,41,0
135,27,0
129,48,0
6,13,1
98,37,1
132,31,0
150,4,1
79,21,1
168,44,0
67,7,0
152,49,1
68,11,0
179,34,0
122,30,1
4,42,0
191,9,0
3,3,1
90,177,1
108,123,0
187,139,0
108,168,1
117,73,1
151,137,1
65,102,1
186,145,1
45,141,1
100,150,1
169,81,1
92,79,0
127,178,0
73,139,1
166,101,0
131,114,1
90,104,1
37,88,0
180,104,1
111,148,1
46,76,1
191,105,0
192,128,1
13,67,1
98,120,1
2,173,0
161,143,0
164,177,0
89,178,1
3,151,0
7,64,0
119,156,1
96,122,1
23,163,0
132,67,0
104,125,0
195,68,0
100,83,1
90,105,1
81,72,1
90,145,1
156,101,0
156,79,1
139,172,0
109,157,1
144,131,1
146,125,0
64,128,0
153,124,0
167,64,0
64,83,0
194,179,0
60,144,0
56,120,0
95,156,1
20,62,0
10,167,0
184,177,0
43,132,0
80,119,0
5,66,1
148,124,1
131,163,1
159,168,1
176,114,1
75,139,0
148,107,0
197,67,0
14,178,0
87,175,1
133,121,1
158,90,1
164,138,1
48,65,1
40,83,0
39,141,0
90,111,1
160,76,0
39,137,0
3,91,1
189,64,1
110,180,0
61,117,1
42,125,1
5,171,0
54,142,1
8,163,0
158,140,0
163,158,1
82,100,0
67,82,0
19,171,1
163,121,0
63,82,1
159,129,0
135,137,1
174,137,0
15,142,0
173,167,1
71,149,1
28,117,1
170,166,1
108,141,0
2,81,1
95,72,1
25,78,1
53,164,0
10,94,0
79,146,1
17,152,0
145,121,1
181,69,1
129,104,0
139,69,1
137,127,0
200,106,0
45,145,1
187,102,1
39,100,1
161,150,0
190,145,0
41,109,1
177,126,0
39,82,1
156,90,0
74,110,0
22,171,0
122,135,0
187,110,1
126,129,1
109,79,0
168,171,0
154,179,1
69,70,0
194,157,1
145,145,1
62,139,0
31,131,1
140,69,0
107,143,0
30,99,1
11,153,1
110,125,1
59,168,1
76,175,0
174,61,0
68,65,0
47,178,0
122,126,0
114,149,1
64,131,1
7,172,0
97,102,1
142,61,0
92,65,1
168,145,0
133,167,0
101,137,0
120,147,0
119,131,1
129,89,0
76,146,0
200,99,0
21,175,1
30,142,0
15,88,1
68,148,1
53,68,1
200,147,1
102,87,0
54,137,0
59,94,1
93,114,0
13,134,1
141,95,0
9,64,1
192,169,0
24,160,0
160,92,0
2,104,1
27,107,1
68,136,0
164,128,1
65,117,0
63,65,0
92,64,1
118,110,1
157,167,1
80,70,1
124,173,0
46,153,1
60,171,1
7,122,0
195,110,0
18,150,0
196,69,0
30,118,0
38,175,0
136,124,1
197,122,1
52,91,0
94,153,0
20,109,0
148,143,1
64,144,1
139,80,0
19,164,0
125,91,0
42,86,1
21,137,1
13,109,0
76,156,0
146,90,0
94,84,1
40,98,1
10,81,0
137,170,1
166,251,0
23,74,0
180,65,0
150,146,1
148,140,1
74,178,0
93,120,0
175,69,0
19,91,1
83,113,1
125,80,1
19,103,0
42,610,1
47,151,1
177,620,0
30,15,0
