S/NO,Time(min),Lien(1/0)
12,0,1
12,0,0
10,0,0
25,0,0
4,0,0
3,0,1
10,0,0
17,0,1
14,0,1
22,0,1
10,1,1
9,1,0
17,1,0
17,1,1
7,1,1
9,1,1
23,2,1
1,2,0
14,2,0
1,2,1
6,2,0
3,2,0
12,2,0
19,2,0
15,2,0
2,2,0
14,2,1
8,2,1
8,2,1
16,2,1
21,3,1
19,3,0
15,3,1
1,3,0
12,3,1
11,3,0
9,3,0
2,3,1
3,3,0
22,3,1
21,3,1
22,3,0
25,3,0
12,3,0
13,4,0
20,4,0
9,4,1
13,4,1
14,4,1
4,4,0
19,4,0
20,4,0
1,4,0
8,4,1
16,4,1
19,4,0
5,4,0
8,4,0
6,4,0
11,4,0
13,4,0
22,4,0
16,5,0
14,5,1
8,5,0
24,5,0
12,5,1
21,5,1
2,5,0
1,5,1
10,5,1
25,5,1
11,5,1
16,5,0
14,5,1
19,6,0
22,6,0
17,6,1
6,6,0
23,6,1
20,6,0
16,6,1
10,6,0
11,6,0
6,7,1
13,7,1
5,7,0
4,7,0
5,7,0
18,8,0
11,8,1
5,8,1
5,8,0
9,8,1
1,8,0
6,8,1
1,8,1
23,8,0
19,8,0
11,8,1
6,9,0
3,9,0
18,9,0
8,9,1
8,9,1
10,9,1
24,9,0
21,9,0
23,9,1
10,9,1
16,9,0
11,9,0
24,9,1
11,9,0
22,10,1
21,10,0
24,10,0
10,10,1
23,10,0
17,10,0
4,10,1
13,10,0
11,10,0
12,10,0
13,10,1
13,10,1
24,10,0
25,10,0
8,10,1
11,11,1
14,11,1
7,11,1
25,11,0
5,11,1
16,11,0
4,11,1
19,11,0
1,11,1
1,11,1
3,11,0
2,11,0
1,12,1
6,12,1
13,12,1
7,12,0
4,12,1
22,12,1
18,12,1
11,12,1
21,12,0
14,12,1
15,12,0
1,12,1
23,12,0
4,13,0
18,13,1
8,13,0
13,13,1
20,13,1
9,13,1
4,13,0
4,13,0
11,13,0
17,13,0
4,13,0
13,14,1
25,14,1
4,14,1
23,14,1
9,14,1
20,14,1
13,14,0
19,14,0
4,14,0
22,14,0
3,15,0
9,15,0
22,15,1
15,15,1
6,15,0
17,15,0
24,15,0
2,16,1
20,16,0
13,16,0
25,16,0
15,16,1
2,16,1
19,16,1
18,16,1
22,16,0
13,16,1
7,16,0
17,16,1
2,16,0
13,16,0
9,17,1
11,17,0
16,17,1
11,17,1
4,17,1
5,17,1
2,17,0
23,17,0
1,17,0
22,17,0
2,17,0
4,17,0
10,17,1
6,17,1
6,17,0
19,18,1
10,18,0
22,18,0
14,18,0
2,18,1
2,18,0
7,18,0
23,18,0
14,18,1
3,18,0
12,18,0
18,18,1
21,18,1
10,19,0
22,19,1
14,19,0
9,19,0
17,19,0
24,19,0
18,19,0
25,19,0
23,19,1
15,20,0
2,20,0
12,20,0
2,20,0
9,20,0
12,20,0
10,20,0
12,20,0
17,20,1
20,20,1
15,20,0
16,20,0
